[2024-08-03 14:19:44] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-08-03 14:19:44] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-08-03 14:19:44] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-08-03 14:19:45] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-08-03 14:19:45] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-08-03 14:19:45] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-08-03 14:19:45] [class-ss-setup-task.php:33] Creating archive directory: D:\Wordpress Websites\app\public/wp-content/uploads\simply-static\temp-files/simply-static-1-1722694784\
[2024-08-03 14:19:45] [class-ss-setup-task.php:72] Adding origin URL to queue: http://khilji.local/
[2024-08-03 14:19:45] [class-ss-setup-task.php:145] Adding files from directory: D:\Wordpress Websites\app\public\wp-content\uploads
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-2-1024x683.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-2-1024x683.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-2-150x150.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-2-150x150.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-2-1536x1025.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-2-1536x1025.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-2-2048x1366.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-2-2048x1366.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-2-300x200.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-2-300x200.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-2-768x512.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-2-768x512.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-2-scaled.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-2-scaled.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-2.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-2.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-TOP-1024x683.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-TOP-1024x683.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-TOP-150x150.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-TOP-150x150.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-TOP-1536x1024.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-TOP-1536x1024.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-TOP-2048x1366.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-TOP-2048x1366.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-TOP-300x200.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-TOP-300x200.jpg
[2024-08-03 14:19:45] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-TOP-768x512.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-TOP-768x512.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT-TOP.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT-TOP.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT_-BOTTOM-1024x681.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT_-BOTTOM-1024x681.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT_-BOTTOM-150x150.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT_-BOTTOM-150x150.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT_-BOTTOM-1536x1021.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT_-BOTTOM-1536x1021.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT_-BOTTOM-2048x1361.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT_-BOTTOM-2048x1361.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT_-BOTTOM-300x199.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT_-BOTTOM-300x199.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT_-BOTTOM-768x511.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT_-BOTTOM-768x511.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT_-BOTTOM-scaled.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT_-BOTTOM-scaled.jpg
[2024-08-03 14:19:46] [class-ss-setup-task.php:150] Adding file D:\Wordpress Websites\app\public\wp-content\uploads\2024\08\ABOUT_-BOTTOM.jpg to queue as: D:/Wordpress Websites/app/public/wp-content/uploads/2024/08/ABOUT_-BOTTOM.jpg
